number,emails,fund_date,amount,u_email,p_projectID,number,pid,amount collected
43,ewaters@att.net,2018-10-03 07:12:11,,library@yahoo.ca,2389527,43,2299200,1341332
44,nasor@yahoo.com,2018-10-03 21:23:19,,jnolan@outlook.com,2389527,44,2332464,14953071
45,josem@aol.com,2018-10-03 09:45:11,,rkobes@me.com,2389527,45,2301861,937993
46,crusader@yahoo.ca,2018-10-05 16:46:40,,floxy@aol.com,2389527,46,2343277,1705715
47,frostman@live.com,2018-10-06 18:28:16,,iamcal@live.com,2389527,47,2343790,880035
48,bolow@aol.com,2018-10-05 14:05:31,,dinther@mac.com,2389527,48,2309410,1881954
,,2018-10-01 14:40:17,,munson@aol.com,2389527,49,2332995,858483
,,2018-09-20 10:04:43,,cderoove@yahoo.ca,2389527,50,2339328,2141345
,,2018-09-14 10:42:47,,conteb@att.net,2387578,51,2151483,1427071
,,2018-09-23 20:26:01,,mrdvt@outlook.com,2387578,52,2326536,819146
,,2018-09-21 05:32:21,,jpflip@yahoo.ca,2387578,53,2335690,956386
,,2018-10-01 08:54:18,,floxy@aol.com,2387578,54,2327255,799559
,,2018-09-28 23:34:32,,graham@sbcglobal.net,2387578,55,2313424,2710974
,,2018-10-02 15:30:28,,tbmaddux@comcast.net,2387578,56,2314119,1377664
,,2018-09-21 04:29:55,,rkobes@me.com,2387578,57,2310992,981791
,,2018-09-30 01:34:55,,hllam@yahoo.ca,2387578,58,2310993,1162482
,,2018-09-27 19:24:14,,osrin@msn.com,2385318,59,2304977,793556
,,2018-09-27 14:09:31,,isaacson@msn.com,2385318,60,2302346,834736
,,2018-09-27 16:54:00,,rkobes@me.com,2385318,61,2304090,794552
,,2018-10-04 18:11:33,,jnolan@outlook.com,2385318,62,2281973,1588412
,,2018-09-22 14:09:26,,parasite@hotmail.com,2385318,63,2058442,1376074
,,2018-10-07 20:11:21,,chlim@icloud.com,2385318,64,2255955,1185968
,,2018-10-02 01:51:54,,msherr@hotmail.com,2384892,65,2218431,973268
,,2018-09-21 05:35:14,,shawnce@yahoo.com,2384892,66,2257278,1233845
,,2018-09-24 21:23:22,,tbeck@yahoo.ca,2384892,67,2262524,1531391
,,2018-09-16 16:35:20,,lstein@sbcglobal.net,2383910,68,2229521,2066586
,,2018-10-01 00:16:53,,tbmaddux@comcast.net,2383910,69,2228880,1146654
,,2018-09-28 10:32:57,,library@yahoo.ca,2383910,70,2258118,1573634
,,2018-09-28 06:20:20,,lstein@sbcglobal.net,2383910,71,2236170,1104534
,,2018-09-14 12:34:16,,cderoove@yahoo.ca,2382403,72,2238354,1555227
,,2018-10-07 15:13:00,,msherr@hotmail.com,2382403,73,2182277,2455753
,,2018-09-20 03:24:00,,graham@sbcglobal.net,2382403,74,2222339,1352266
,,2018-09-28 09:38:16,,cderoove@yahoo.ca,2382403,75,2220485,1715512
,,2018-09-19 16:12:54,,zwood@optonline.net,2377451,76,2186257,849031
,,2018-09-27 11:27:18,,floxy@aol.com,2377451,77,2204792,2132408
,,2018-10-06 09:13:04,,mahbub@yahoo.com,2377451,78,2187289,744836
,,2018-09-26 00:08:43,,conteb@att.net,2377451,79,2048036,2029352
,,2018-09-27 19:20:06,,osrin@msn.com,2377451,80,2176435,4653606
,,2018-10-03 22:23:09,,osrin@msn.com,2377451,81,2175232,1549765
,,2018-10-06 13:59:37,,sbmrjbr@gmail.com,2377451,82,2170771,852165
,,2018-09-25 13:13:14,,zwood@optonline.net,2376833,83,2164342,1163889
,,2018-09-28 00:31:50,,stecoop@yahoo.com,2376833,84,2166984,982825
,,2018-09-15 17:39:34,,mrdvt@outlook.com,2375791,85,2136415,1906476
,,2018-09-23 22:42:36,,storerm@comcast.net,2375791,86,2163614,793872
,,2018-09-22 23:08:24,,dalamb@att.net,2375791,87,2154872,1868342
,,2018-10-03 03:18:40,,ewaters@att.net,2375791,88,2154874,1131907
,,2018-10-07 05:42:32,,osrin@msn.com,2375308,89,2143478,825742
,,2018-10-02 19:51:58,,bolow@aol.com,2375308,90,2152289,2593402
,,2018-09-22 19:47:41,,chlim@icloud.com,2375308,91,2125241,2023805
,,2018-10-07 07:39:19,,graham@sbcglobal.net,2375308,92,2143477,1195307
,,2018-09-28 21:08:05,,portele@verizon.net,2375308,93,2144210,3338026
,,2018-10-01 08:33:15,,cderoove@yahoo.ca,2374999,94,2145204,932321
,,2018-09-28 13:57:46,,jhardin@verizon.net,2374999,95,2067547,1183745
,,2018-10-01 19:37:43,,rtanter@comcast.net,2374999,96,2132970,1711111
,,2018-09-30 05:29:09,,isotopian@yahoo.com,2374999,97,2125905,824118
,,2018-09-23 04:07:56,,munson@aol.com,2374999,98,2125161,916501
,,2018-09-17 00:31:15,,storerm@comcast.net,2373236,99,2059059,1049655
,,2018-10-06 17:47:03,,chlim@icloud.com,2373236,100,2116529,859790
,,2018-09-27 17:52:04,,josem@aol.com,2373236,101,2114635,2054057
,,2018-09-25 09:40:19,,iamcal@live.com,2373236,102,2107309,931152
,,2018-09-29 17:26:53,,isaacson@msn.com,2373236,103,2109428,1675424
,,2018-09-30 01:52:47,,rtanter@comcast.net,2373236,104,2101896,1130106
,,2018-09-21 13:00:33,,tbeck@yahoo.ca,2373236,105,2079720,6556442
,,2018-10-01 09:45:31,,privcan@outlook.com,2372181,106,2096972,1117167
,,2018-10-05 14:03:43,,tbeck@yahoo.ca,2372181,107,2001745,1165027
,,2018-09-20 18:38:18,,parasite@hotmail.com,2372181,108,2060471,1017319
,,2018-09-20 00:21:15,,mahbub@yahoo.com,2370538,109,2084275,1188054
,,2018-09-27 09:50:16,,nasor@yahoo.com,2370538,110,2084359,809557
,,2018-10-02 01:25:55,,graham@sbcglobal.net,2370538,111,2077613,1738297
,,2018-09-28 07:06:54,,stecoop@yahoo.com,2370538,112,2051300,1034206
,,2018-09-20 11:10:32,,vmalik@me.com,2370538,113,2070090,1046919
,,2018-10-02 04:40:34,,floxy@aol.com,2370538,114,1964819,1626283
,,2018-09-20 23:20:53,,osrin@msn.com,2370538,115,2059549,1019507
,,2018-10-02 01:48:31,,dalamb@att.net,2370538,116,1950156,2462771
,,2018-09-22 04:54:04,,mrdvt@outlook.com,2369565,117,2045546,932516
,,2018-10-07 09:04:20,,mahbub@yahoo.com,2369565,118,2022037,1271908
,,2018-09-24 13:43:02,,hllam@yahoo.ca,2369565,119,2032917,861690
,,2018-09-20 02:04:45,,frostman@live.com,2369565,120,2034001,1052447
,,2018-09-23 22:50:58,,sherzodr@outlook.com,2369565,121,2026929,975691
,,2018-09-21 03:27:21,,jhardin@verizon.net,2368013,122,2031062,3567642
,,2018-09-20 16:48:49,,penna@sbcglobal.net,2368013,123,2028800,871114
,,2018-10-03 08:09:46,,mrdvt@outlook.com,2368013,124,2006689,1020265
,,2018-10-03 07:32:44,,sherzodr@outlook.com,2368013,125,2009101,3146050
,,2018-09-21 06:45:18,,tbeck@yahoo.ca,2365150,126,2006026,2766722
,,2018-09-22 00:58:30,,crusader@yahoo.ca,2365150,127,2000567,1568009
,,2018-09-23 21:29:40,,sbmrjbr@gmail.com,2365150,128,1989243,1297316
,,2018-10-03 08:46:04,,iamcal@live.com,2365028,129,1955307,2079288
,,2018-10-03 07:26:26,,tbeck@yahoo.ca,2365028,130,1976485,878433
,,2018-10-04 15:01:11,,dprice@msn.com,2365028,131,1969461,799380
,,2018-09-28 08:00:22,,shawnce@yahoo.com,2365028,132,1980978,1480791
,,2018-09-23 09:31:12,,rkobes@me.com,2365028,133,1957934,1489577
,,2018-09-22 13:16:30,,stecoop@yahoo.com,2365028,134,1972874,954677
,,2018-09-26 21:55:14,,ewaters@att.net,2364706,135,1963955,821278
,,2018-09-30 20:47:19,,conteb@att.net,2364706,136,1892422,1415622
,,2018-09-16 02:12:06,,graham@sbcglobal.net,2364500,137,1830042,893745
,,2018-10-06 19:43:17,,rtanter@comcast.net,2364500,138,1919607,3024997
,,2018-10-07 11:19:27,,raides@me.com,2364500,139,1946944,1645763
,,2018-10-05 17:47:32,,privcan@outlook.com,2364500,140,1945677,791770
,,2018-10-06 22:15:12,,stecoop@yahoo.com,2364288,141,1924338,751924
,,2018-10-03 16:21:03,,inico@att.net,2364288,142,1918821,1372634
,,2018-10-02 22:13:48,,parasite@hotmail.com,2364288,143,1944022,905343
,,2018-10-01 18:57:49,,mrdvt@outlook.com,2364288,144,1938110,1321789
,,2018-09-23 20:31:17,,josem@aol.com,2364288,145,1892364,2757838
,,2018-09-22 14:19:35,,jnolan@outlook.com,2358226,146,1924358,1367605
,,2018-09-27 13:01:48,,dalamb@att.net,2358226,147,1929228,1305462
,,2018-10-02 19:33:55,,telbij@msn.com,2358226,148,1894320,1424270
,,2018-09-20 20:37:30,,stecoop@yahoo.com,2358226,149,1914092,1485488
,,2018-09-22 00:33:50,,conteb@att.net,2358226,150,1892936,806765
,,2018-09-28 15:07:45,,inico@att.net,2358166,151,1893939,2214758
,,2018-10-04 17:02:38,,nasor@yahoo.com,2358166,152,1908572,991480
,,2018-09-30 12:09:33,,mahbub@yahoo.com,2358166,153,1908999,1612877
,,2018-10-02 16:55:51,,vmalik@me.com,2358166,154,1902110,954413
,,2018-10-04 20:29:41,,tbeck@yahoo.ca,2358166,155,1905786,2212267
,,2018-09-28 13:33:06,,nasor@yahoo.com,2358166,156,1256338,1005794
,,2018-09-25 21:33:55,,mahbub@yahoo.com,2358166,157,1875845,824380
,,2018-09-25 15:02:47,,josem@aol.com,2358166,158,1874873,7232484
,,2018-09-21 18:50:51,,lbaxter@msn.com,2356238,159,1871615,1719064
,,2018-09-21 05:21:35,,mrdvt@outlook.com,2356238,160,1851486,3281915
,,2018-10-05 01:28:53,,stecoop@yahoo.com,2356238,161,1863435,765113
,,2018-09-29 08:14:10,,vmalik@me.com,2356238,162,1858383,1268011
,,2018-09-14 08:15:15,,telbij@msn.com,2355841,163,1786666,6805989
,,2018-09-16 16:25:57,,portele@verizon.net,2355841,164,1829814,1762133
,,2018-10-04 14:29:20,,tbmaddux@comcast.net,2355841,165,1835207,1911713
,,2018-09-20 02:49:27,,inico@att.net,2355841,166,1842503,2732946
,,2018-10-04 15:44:09,,tbeck@yahoo.ca,2355841,167,1819382,780404
,,2018-09-27 19:43:24,,frostman@live.com,2355179,168,1773975,774335
,,2018-10-02 14:33:47,,jpflip@yahoo.ca,2355179,169,1831525,2251943
,,2018-10-05 18:08:02,,tbmaddux@comcast.net,2355179,170,1828978,4918275
,,2018-10-02 03:46:44,,shawnce@yahoo.com,2354613,171,1821077,1867155
,,2018-09-29 07:10:42,,crusader@yahoo.ca,2354613,172,1821967,1918175
,,2018-09-28 06:25:56,,parasite@hotmail.com,2354613,173,1790345,3668838
,,2018-10-02 08:45:53,,mahbub@yahoo.com,2354613,174,1813206,1356564
,,2018-09-25 08:11:46,,rkobes@me.com,2354447,175,1660186,770087
,,2018-09-26 13:27:27,,conteb@att.net,2354447,176,1776300,1126083
,,2018-09-23 22:59:28,,shawnce@yahoo.com,2354447,177,1799626,1552755
,,2018-09-28 14:58:26,,tbeck@yahoo.ca,2354447,178,1784641,2313413
,,2018-09-26 02:48:24,,ewaters@att.net,2354447,179,1783660,872607
,,2018-10-04 01:53:31,,parasite@hotmail.com,2354447,180,1751080,4426205
,,2018-09-20 10:14:55,,cderoove@yahoo.ca,2350138,181,1759114,1287443
,,2018-10-07 20:33:26,,ewaters@att.net,2350138,182,1765307,1472441
,,2018-10-03 22:51:22,,mahbub@yahoo.com,2347743,183,1760049,1780371
,,2018-10-04 06:33:04,,floxy@aol.com,2347743,184,1746617,1560449
,,2018-10-03 03:23:22,,dalamb@att.net,2347743,185,1741635,895054
,,2018-09-30 03:54:42,,lbaxter@msn.com,2347743,186,1736848,778761
,,2018-10-02 10:33:10,,vmalik@me.com,2347743,187,1643145,1023197
,,2018-10-06 23:50:39,,kodeman@me.com,2347743,188,1697257,3164893
,,2018-10-05 19:08:17,,rkobes@me.com,2347743,189,1711280,1335975
,,2018-09-17 06:35:14,,dprice@msn.com,2343790,190,1700935,1741455
,,2018-09-22 05:33:28,,hllam@yahoo.ca,2343790,191,1628084,1711295
,,2018-09-29 00:12:12,,bolow@aol.com,2343790,192,1628084,1711295
,,2018-09-24 21:44:12,,vmalik@me.com,2343790,193,1656090,876363
,,2018-09-29 22:58:01,,rtanter@comcast.net,2343790,194,1676513,2314016
,,2018-09-19 10:26:09,,josem@aol.com,2343277,195,1667953,1473027
,,2018-10-03 18:26:15,,conteb@att.net,2343277,196,1648495,1526284
,,2018-09-21 03:54:20,,sherzodr@outlook.com,2343277,197,1643399,2930569
,,2018-10-02 11:22:01,,iamcal@live.com,2343277,198,1642016,811196
,,2018-09-28 05:32:01,,nasor@yahoo.com,2342926,199,1649684,1252830
,,2018-10-06 08:01:57,,crusader@yahoo.ca,2342926,200,1601908,1282786
,,2018-09-29 10:12:29,,msherr@hotmail.com,2342926,201,1598628,1058415
,,2018-10-02 03:47:10,,portele@verizon.net,2342926,202,1625355,1000744
,,2018-09-23 00:41:26,,floxy@aol.com,2342926,203,1309900,820451
,,2018-09-29 15:46:52,,iamcal@live.com,2342926,204,1532672,1139728
,,2018-09-28 01:59:04,,storerm@comcast.net,2342926,205,1578701,2673390
,,2018-09-23 03:58:14,,isaacson@msn.com,2342926,206,1575836,868249
,,2018-09-19 12:12:19,,jhardin@verizon.net,2339328,207,1575836,868249
,,2018-09-29 00:17:30,,conteb@att.net,2339328,208,1568639,4573569
,,2018-09-30 22:39:36,,jnolan@outlook.com,2335690,209,1424387,1053550
,,2018-09-24 23:36:34,,vmalik@me.com,2335690,210,1537724,926227
,,2018-10-06 05:50:10,,ewaters@att.net,2335690,211,1531028,2121078
,,2018-10-04 01:39:50,,frostman@live.com,2335690,212,1313392,1223230
,,2018-09-27 00:55:32,,frostman@live.com,2332995,213,1520044,1407164
,,2018-10-05 07:00:30,,mahbub@yahoo.com,2332995,214,1504828,1612886
,,2018-10-06 10:55:11,,stecoop@yahoo.com,2332995,215,1517317,775944
,,2018-10-01 01:08:49,,sbmrjbr@gmail.com,2332995,216,1386380,1630379
,,2018-10-07 20:17:11,,lstein@sbcglobal.net,2332464,217,1400981,883954
,,2018-10-02 22:18:06,,munson@aol.com,2332464,218,1453643,1569862
,,2018-10-05 18:13:37,,cderoove@yahoo.ca,2332464,219,1383172,2009010
,,2018-09-26 23:17:23,,munson@aol.com,2332464,220,1453224,1505895
,,2018-10-01 04:48:43,,floxy@aol.com,2332464,221,1453224,1505895
,,2018-09-30 07:32:10,,rkobes@me.com,2332464,222,1429083,1786753
,,2018-10-02 09:06:45,,tbeck@yahoo.ca,2332464,223,1356689,2768650
,,2018-10-03 12:53:13,,cderoove@yahoo.ca,2327255,224,1356689,2768650
,,2018-09-28 05:38:37,,kodeman@me.com,2327255,225,1299894,1174501
,,2018-09-24 13:57:21,,isaacson@msn.com,2327255,226,1150044,3613338
,,2018-10-04 21:26:51,,storerm@comcast.net,2327255,227,1271371,1946882
,,2018-09-24 03:26:30,,mrdvt@outlook.com,2326536,228,1041217,781928
,,2018-09-23 13:35:00,,parasite@hotmail.com,2326536,229,1177566,802612
,,2018-10-04 15:35:17,,kodeman@me.com,2326536,230,1143140,3156178
,,2018-09-29 19:43:41,,munson@aol.com,2323946,231,1135339,1314647
,,2018-09-25 07:05:43,,osrin@msn.com,2323946,232,1049016,6051571
,,2018-09-14 21:38:57,,storerm@comcast.net,2323946,233,1041259,1230603
,,2018-09-19 02:08:34,,lbaxter@msn.com,2323946,234,1041259,1230603
,,2018-10-06 09:37:21,,mrdvt@outlook.com,2323946,235,953646,1047638
,,2018-10-01 15:18:51,,isaacson@msn.com,2323946,236,1057180,908549
,,2018-09-18 01:19:32,,munson@aol.com,2314119,237,1018227,830881
,,2018-09-24 11:25:21,,mrdvt@outlook.com,2314119,238,992525,850680
,,2018-10-03 09:20:30,,sherzodr@outlook.com,2313424,239,972019,3429046
,,2018-10-02 18:15:29,,sherzodr@outlook.com,2313424,240,921007,2269158
,,2018-10-05 06:28:06,,raides@me.com,2313424,241,777768,1678588
,,2018-10-06 20:42:38,,msherr@hotmail.com,2313424,242,712200,1665254
,,2018-10-03 09:17:29,,privcan@outlook.com,2313424,243,668128,1216280
,,2018-10-03 12:27:38,,rtanter@comcast.net,2313424,244,758700,2284774
,,2018-09-26 04:54:19,,munson@aol.com,2313424,245,736490,1414159
,,2018-09-28 05:51:45,,rkobes@me.com,2313424,246,731457,2377647
,,2018-10-07 02:52:09,,mrdvt@outlook.com,2310993,247,587472,1537680
,,2018-09-30 10:32:59,,zwood@optonline.net,2310993,248,569574,3001353
,,2018-09-30 10:59:46,,parasite@hotmail.com,2310993,249,398294,1661988
,,2018-09-16 15:50:21,,munson@aol.com,2310992,250,268456,1140975
,,2018-10-06 20:24:53,,cderoove@yahoo.ca,2310992,,,
,,2018-09-28 11:38:18,,lstein@sbcglobal.net,2310992,,,
,,2018-09-25 08:59:10,,bolow@aol.com,2310992,,,
,,2018-09-30 08:28:09,,rkobes@me.com,2310992,,,
,,2018-10-07 19:34:50,,sbmrjbr@gmail.com,2310992,,,
,,2018-09-16 10:53:10,,portele@verizon.net,2309410,,,
,,2018-10-07 23:53:25,,library@yahoo.ca,2309410,,,
,,2018-09-30 11:50:05,,mahbub@yahoo.com,2309410,,,
,,2018-09-24 19:23:59,,bolow@aol.com,2306452,,,
,,2018-09-24 21:18:21,,dprice@msn.com,2306452,,,
,,2018-09-28 21:13:56,,storerm@comcast.net,2306452,,,
,,2018-09-21 15:34:52,,floxy@aol.com,2306452,,,
,,2018-10-03 23:07:10,,portele@verizon.net,2306452,,,
,,2018-09-25 05:05:15,,raides@me.com,2306452,,,
,,2018-09-30 05:46:20,,nasor@yahoo.com,2306452,,,
,,2018-09-23 07:29:10,,mahbub@yahoo.com,2306452,,,
,,2018-10-07 08:56:06,,mahbub@yahoo.com,2304977,,,
,,2018-10-04 19:04:40,,msherr@hotmail.com,2304977,,,
,,2018-09-26 17:36:47,,cderoove@yahoo.ca,2304977,,,
,,2018-09-22 15:05:50,,nasor@yahoo.com,2304977,,,
,,2018-09-30 06:44:16,,munson@aol.com,2304977,,,
,,2018-10-04 09:47:28,,bolow@aol.com,2304977,,,
,,2018-09-19 03:16:32,,jpflip@yahoo.ca,2304090,,,
,,2018-09-14 03:08:45,,dprice@msn.com,2304090,,,
,,2018-09-21 00:39:16,,parasite@hotmail.com,2304090,,,
,,2018-10-01 11:35:59,,dalamb@att.net,2304090,,,
,,2018-09-30 07:28:28,,chlim@icloud.com,2304090,,,
,,2018-09-29 23:04:29,,inico@att.net,2302346,,,
,,2018-09-26 09:24:09,,privcan@outlook.com,2302346,,,
,,2018-09-21 09:05:26,,vmalik@me.com,2302346,,,
,,2018-09-21 03:59:28,,sherzodr@outlook.com,2302346,,,
,,2018-09-13 21:18:50,,iamcal@live.com,2301861,,,
,,2018-09-21 03:58:22,,jpflip@yahoo.ca,2301861,,,
,,2018-09-17 11:19:18,,lbaxter@msn.com,2299200,,,
,,2018-09-14 05:22:30,,hllam@yahoo.ca,2299200,,,
,,2018-09-23 08:05:19,,vmalik@me.com,2299200,,,
,,2018-09-20 19:00:11,,shawnce@yahoo.com,2299200,,,
,,2018-09-24 09:31:51,,rkobes@me.com,2299200,,,
,,2018-09-30 09:34:24,,mrdvt@outlook.com,2299200,,,
,,2018-09-14 13:15:10,,lbaxter@msn.com,2281973,,,
,,2018-09-23 18:56:05,,rtanter@comcast.net,2281973,,,
,,2018-09-27 15:05:53,,mahbub@yahoo.com,2262524,,,
,,2018-09-24 08:45:45,,mahbub@yahoo.com,2262524,,,
,,2018-10-07 12:11:44,,chlim@icloud.com,2262524,,,
,,2018-10-05 06:47:08,,osrin@msn.com,2258118,,,
,,2018-09-21 21:03:09,,msherr@hotmail.com,2258118,,,
,,2018-10-01 22:50:55,,rtanter@comcast.net,2258118,,,
,,2018-10-03 15:58:09,,storerm@comcast.net,2258118,,,
,,2018-09-27 18:42:04,,conteb@att.net,2258118,,,
,,2018-10-02 18:24:03,,ewaters@att.net,2258118,,,
,,2018-10-06 22:22:51,,conteb@att.net,2258118,,,
,,2018-10-06 14:34:25,,raides@me.com,2257278,,,
,,2018-09-29 01:36:36,,dinther@mac.com,2257278,,,
,,2018-09-30 23:55:23,,lstein@sbcglobal.net,2257278,,,
,,2018-09-29 08:55:05,,msherr@hotmail.com,2257278,,,
,,2018-09-23 23:07:10,,inico@att.net,2257278,,,
,,2018-10-06 13:25:38,,tbmaddux@comcast.net,2257278,,,
,,2018-10-05 14:23:04,,rkobes@me.com,2255955,,,
,,2018-10-04 11:04:20,,rtanter@comcast.net,2255955,,,
,,2018-09-20 06:46:49,,dalamb@att.net,2255955,,,
,,2018-09-20 02:45:37,,telbij@msn.com,2255955,,,
,,2018-09-23 03:34:27,,library@yahoo.ca,2255955,,,
,,2018-09-26 15:51:11,,isotopian@yahoo.com,2255955,,,
,,2018-10-07 18:45:21,,sherzodr@outlook.com,2255955,,,
,,2018-09-14 12:01:37,,lstein@sbcglobal.net,2238354,,,
,,2018-09-30 07:50:40,,crusader@yahoo.ca,2238354,,,
,,2018-09-28 11:39:09,,portele@verizon.net,2238354,,,
,,2018-10-05 08:55:14,,stecoop@yahoo.com,2238354,,,
,,2018-09-24 08:50:24,,jhardin@verizon.net,2238354,,,
,,2018-09-21 13:46:23,,lstein@sbcglobal.net,2238354,,,
,,2018-09-21 08:56:00,,graham@sbcglobal.net,2238354,,,
,,2018-09-27 07:23:33,,mahbub@yahoo.com,2236170,,,
,,2018-09-26 09:21:24,,osrin@msn.com,2236170,,,
,,2018-10-01 14:05:54,,penna@sbcglobal.net,2236170,,,
,,2018-09-23 10:22:30,,storerm@comcast.net,2236170,,,
,,2018-10-02 14:54:37,,cderoove@yahoo.ca,2236170,,,
,,2018-09-29 11:44:26,,osrin@msn.com,2236170,,,
,,2018-10-03 23:12:45,,chlim@icloud.com,2229521,,,
,,2018-10-04 13:10:58,,shawnce@yahoo.com,2229521,,,
,,2018-10-06 23:03:58,,tbmaddux@comcast.net,2229521,,,
,,2018-09-30 19:10:56,,storerm@comcast.net,2229521,,,
,,2018-09-18 12:50:10,,portele@verizon.net,2228880,,,
,,2018-09-22 10:52:36,,graham@sbcglobal.net,2228880,,,
,,2018-09-20 22:55:58,,hllam@yahoo.ca,2228880,,,
,,2018-09-27 01:12:58,,storerm@comcast.net,2228880,,,
,,2018-10-01 21:41:04,,iamcal@live.com,2228880,,,
,,2018-10-04 12:12:46,,mahbub@yahoo.com,2228880,,,
,,2018-10-02 13:29:42,,isotopian@yahoo.com,2228880,,,
,,2018-10-01 12:24:31,,floxy@aol.com,2228880,,,
,,2018-10-07 14:14:51,,nasor@yahoo.com,2228880,,,
,,2018-09-25 14:34:39,,lstein@sbcglobal.net,2228880,,,
,,2018-09-25 07:52:02,,ewaters@att.net,2228880,,,
,,2018-09-30 20:53:54,,nasor@yahoo.com,2228880,,,
,,2018-10-04 09:19:50,,stecoop@yahoo.com,2222339,,,
,,2018-10-07 08:58:07,,sherzodr@outlook.com,2222339,,,
,,2018-10-07 22:25:42,,tbmaddux@comcast.net,2222339,,,
,,2018-10-02 02:02:32,,mahbub@yahoo.com,2222339,,,
,,2018-09-25 14:08:42,,rkobes@me.com,2222339,,,
,,2018-09-23 18:38:19,,graham@sbcglobal.net,2222339,,,
